"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.275099","fe80::216c:ca75:e5aa:b652","ff02::1:2","DHCPv6","134","Solicit XID: 0xa6b1e2 CID: 000100011bfe83f090b11c67c3b3 "
"13","0.287621","10.30.16.134","255.255.255.255","UDP","60","14897  >  14897 Len=6"
"14","0.383891","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"15","0.416958","134.114.109.97","224.0.0.251","MDNS","101","Standard query response 0x0000 A, cache flush 134.114.109.97"
"16","0.469704","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"17","0.469707","134.114.109.103","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"18","0.507715","134.114.109.115","134.114.109.255","UDP","60","60533  >  1534 Len=8"
"19","0.515826","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"20","0.656720","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"21","0.656760","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.129? Tell 134.114.109.1"
"22","0.656774","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"23","0.660543","fe80::1103:8c27:7c74:4911","ff02::fb","MDNS","125","Standard query 0x0000 SRV HP LaserJet 600 M601 [13B24A]._ipp._tcp.local, ""QM"" question"
"24","0.692614","Dell_6a:76:29","Broadcast","ARP","60","Who has 169.254.169.254? Tell 134.114.109.132"
"25","0.692867","134.114.109.6","224.0.0.251","MDNS","79","Standard query 0x70d8 PTR _arduino._tcp.local, ""QM"" question"
"26","0.741860","Cisco_7c:7f:07","PVST+","STP","64","RST. Root = 24576/109/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"27","0.763136","134.114.109.57","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"28","0.938431","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"29","1.080582","134.114.109.57","255.255.255.255","DB-LSP-DISC","235","Dropbox LAN sync Discovery Protocol"
"30","1.081532","134.114.109.57","134.114.109.255","DB-LSP-DISC","235","Dropbox LAN sync Discovery Protocol"
"31","1.084810","134.114.109.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"32","1.090931","10.30.16.224","224.0.0.200","UDP","155","2000  >  2000 Len=109"
"33","1.120096","134.114.109.168","255.255.255.255","DB-LSP-DISC","438","Dropbox LAN sync Discovery Protocol"
"34","1.120224","134.114.109.168","134.114.109.255","DB-LSP-DISC","438","Dropbox LAN sync Discovery Protocol"
"35","1.122985","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.121? Tell 134.114.109.1"
"36","1.224309","134.114.109.113","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"37","1.236924","134.114.109.50","255.255.255.255","DB-LSP-DISC","310","Dropbox LAN sync Discovery Protocol"
"38","1.237163","134.114.109.50","134.114.109.255","DB-LSP-DISC","310","Dropbox LAN sync Discovery Protocol"
"39","1.238680","Caldigit_10:3a:7d","Broadcast","ARP","60","Who has 169.254.255.255? Tell 134.114.109.50"
"40","1.376794","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 10.5.109.37? Tell 10.5.109.1"
"41","1.417446","10.30.16.131","224.0.1.129","PTPv2","110","Announce Message"
"42","1.457767","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"43","1.482188","10.5.109.100","10.5.109.255","BACnet-APDU","68","Unconfirmed-REQ who-Is 412002 412002 "
"44","1.503770","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.20? Tell 134.114.109.1"
"45","1.656990","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"46","1.657010","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"47","1.717791","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"48","1.727747","134.114.109.190","172.217.4.163","QUIC","65","Payload (Encrypted), PKN: 9, CID: 17335380981117698631"
"49","1.743252","Cisco_7c:7f:07","PVST+","STP","68","RST. Root = 24576/426/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"50","1.743254","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.152? Tell 134.114.109.1"
"51","1.768343","134.114.109.57","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"52","1.768424","172.217.4.163","134.114.109.190","QUIC","62","Payload (Encrypted), PKN: 10"
"53","1.823130","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"54","2.086924","134.114.109.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"55","2.160970","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.163? Tell 134.114.109.1"
"56","2.197935","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"57","2.233312","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.116? Tell 134.114.109.1"
"58","2.257432","Cisco_7c:7f:07","LLDP_Multicast","LLDP","521","TTL = 120 System Name = 90-3IDF-6S-109-242.net.nau.edu System Description = Cisco IOS Software, C2960S Software (C2960S-UNIVERSALK9-M), Version 12.2(58)SE1, RELEASE SOFTWARE (fc1)\\nTechnical Support: http://www.cisco.com/techsupport\\nCopyright (c) 1986-2011 by Cisco Systems, Inc.\\nCompiled Thu 05-May-11 03:03 by prod_rel_team "
"59","2.385865","fe80::d5e8:2359:ddd1:bb36","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"60","2.457656","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"61","2.497104","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"62","2.498437","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 10.5.109.39? Tell 10.5.109.1"
"63","2.621243","134.114.109.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"64","2.657175","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"65","2.657187","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"66","2.744646","Cisco_7c:7f:07","PVST+","STP","64","RST. Root = 24576/109/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"67","2.780667","134.114.109.57","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"68","2.896611","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.170? Tell 134.114.109.1"
"69","2.960181","74.125.20.189","134.114.109.190","QUIC","83","Payload (Encrypted), PKN: 45829"
"70","2.972162","134.114.109.190","74.125.20.189","QUIC","71","Payload (Encrypted), PKN: 58, CID: 12100257937330780028"
"71","3.090910","10.30.16.224","224.0.0.200","UDP","155","2000  >  2000 Len=109"
"72","3.197928","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"73","3.234805","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.81? Tell 134.114.109.1"
"74","3.236365","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.39? Tell 134.114.109.1"
"75","3.287972","134.114.109.97","224.0.0.251","MDNS","101","Standard query response 0x0000 A, cache flush 134.114.109.97"
"76","3.345092","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"77","3.358136","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.205? Tell 134.114.109.1"
"78","3.417583","10.30.16.131","224.0.1.129","PTPv2","110","Announce Message"
"79","3.504866","10.5.109.44","255.255.255.255","UDP","130","48853  >  4680 Len=88"
"80","3.633756","134.114.109.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"81","3.657370","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"82","3.657385","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"83","3.692543","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.35? Tell 134.114.109.1"
"84","3.746073","Cisco_7c:7f:07","PVST+","STP","68","RST. Root = 24576/426/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"85","3.862470","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.172? Tell 134.114.109.1"
"86","3.884364","10.30.16.134","255.255.255.255","UDP","60","14897  >  14897 Len=6"
"87","3.917252","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"88","4.182995","Cisco_12:f2:43","Cisco_77:e4:61","0xa0a0","60","Ethernet II"
"89","4.197805","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"90","4.211780","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 10.5.109.37? Tell 10.5.109.1"
"91","4.313969","134.114.109.141","255.255.255.255","DB-LSP-DISC","391","Dropbox LAN sync Discovery Protocol"
"92","4.315898","134.114.109.141","134.114.109.255","DB-LSP-DISC","391","Dropbox LAN sync Discovery Protocol"
"93","4.412196","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.92? Tell 134.114.109.1"
"94","4.460655","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"95","4.649394","134.114.109.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"96","4.657359","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"97","4.657498","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"98","4.714964","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"99","4.747469","Cisco_7c:7f:07","PVST+","STP","64","RST. Root = 24576/109/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"100","4.769175","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"101","4.791027","134.114.109.114","134.114.109.255","UDP","348","55233  >  5002 Len=306"
"102","4.794561","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.108? Tell 134.114.109.1"
"103","4.921141","134.114.109.6","224.0.0.251","MDNS","79","Standard query 0x324c PTR _arduino._tcp.local, ""QM"" question"
"104","4.937953","134.114.109.97","224.0.0.251","MDNS","101","Standard query response 0x0000 A, cache flush 134.114.109.97"
"105","4.963906","AsustekC_27:aa:1a","Broadcast","ARP","60","Who has 169.254.1.0? Tell 134.114.109.114"
"106","4.990369","134.114.109.30","134.114.109.255","BJNP","60","Scanner Command: Discover"
"107","4.990474","134.114.109.30","224.0.0.1","BJNP","60","Scanner Command: Discover"
"108","5.002414","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.137? Tell 134.114.109.1"
"109","5.039515","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"110","5.075856","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.163? Tell 134.114.109.1"
"111","5.090866","10.30.16.224","224.0.0.200","UDP","155","2000  >  2000 Len=109"
"112","5.331721","134.114.109.141","255.255.255.255","DB-LSP-DISC","208","Dropbox LAN sync Discovery Protocol"
"113","5.332829","134.114.109.141","134.114.109.255","DB-LSP-DISC","208","Dropbox LAN sync Discovery Protocol"
"114","5.384088","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"115","5.399382","fe80::d5e8:2359:ddd1:bb36","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"116","5.417055","134.114.109.97","224.0.0.251","MDNS","101","Standard query response 0x0000 A, cache flush 134.114.109.97"
"117","5.417641","10.30.16.131","224.0.1.129","PTPv2","110","Announce Message"
"118","5.462409","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"119","5.515966","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"120","5.569913","134.114.109.190","107.21.15.24","TCP","54","51491  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"121","5.634261","107.21.15.24","134.114.109.190","TCP","66","[TCP ACKed unseen segment] 443  >  51491 [ACK] Seq=1 Ack=2 Win=114 Len=0 TSval=65548819 TSecr=632537039"
"122","5.643456","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 10.5.109.10? Tell 10.5.109.1"
"123","5.646582","134.114.109.251","134.114.109.255","UDP","86","57621  >  57621 Len=44"
"124","5.657043","134.114.109.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"125","5.657377","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"126","5.657492","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"127","5.672430","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.32? Tell 134.114.109.1"
"128","5.748824","Cisco_7c:7f:07","PVST+","STP","68","RST. Root = 24576/426/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"129","5.779495","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.104? Tell 134.114.109.1"
"130","5.875736","134.114.109.190","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"131","5.961810","AsustekC_27:aa:1a","Broadcast","ARP","60","Who has 169.254.1.0? Tell 134.114.109.114"
"132","6.034483","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.192? Tell 134.114.109.1"
"133","6.067045","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.8? Tell 134.114.109.1"
"134","6.068780","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"135","6.178933","134.114.109.251","134.114.109.255","BROWSER","243","Host Announcement EGR79, Workstation, Server, NT Workstation"
"136","6.200632","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"137","6.210243","134.114.109.189","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"138","6.224900","134.114.109.190","162.125.34.129","TLSv1.2","497","Application Data"
"139","6.291708","162.125.34.129","134.114.109.190","TCP","66","443  >  51257 [ACK] Seq=1 Ack=432 Win=304 Len=0 TSval=2923216590 TSecr=632583192"
"140","6.291746","134.114.109.190","162.125.34.129","TLSv1.2","829","Application Data"
"141","6.321037","162.125.34.129","134.114.109.190","TCP","66","443  >  51257 [ACK] Seq=1 Ack=1195 Win=307 Len=0 TSval=2923216597 TSecr=632583258"
"142","6.351009","134.114.109.61","255.255.255.255","DB-LSP-DISC","175","Dropbox LAN sync Discovery Protocol"
"143","6.352086","134.114.109.61","134.114.109.255","DB-LSP-DISC","175","Dropbox LAN sync Discovery Protocol"
"144","6.419953","134.114.109.148","255.255.255.255","DB-LSP-DISC","275","Dropbox LAN sync Discovery Protocol"
"145","6.420026","134.114.109.148","134.114.109.255","DB-LSP-DISC","275","Dropbox LAN sync Discovery Protocol"
"146","6.441631","162.125.34.129","134.114.109.190","TLSv1.2","323","Application Data"
"147","6.441672","134.114.109.190","162.125.34.129","TCP","66","51257  >  443 [ACK] Seq=1195 Ack=258 Win=4087 Len=0 TSval=632583406 TSecr=2923216627"
"148","6.462016","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"149","6.472522","fe80::1103:8c27:7c74:4911","ff02::fb","MDNS","125","Standard query 0x0000 SRV HP LaserJet 600 M601 [13B24A]._ipp._tcp.local, ""QM"" question"
"150","6.581678","134.114.109.240","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"151","6.643465","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.95? Tell 134.114.109.1"
"152","6.657411","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"153","6.657546","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"154","6.750312","Cisco_7c:7f:07","PVST+","STP","64","RST. Root = 24576/109/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"155","6.823051","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"156","6.839434","fe80::fe54:6bbd:fdd:cfe4","ff02::fb","MDNS","125","Standard query 0x0000 SRV HP LaserJet 600 M601 [13B24A]._ipp._tcp.local, ""QM"" question"
"157","6.959949","AsustekC_27:aa:1a","Broadcast","ARP","60","Who has 169.254.1.0? Tell 134.114.109.114"
"158","6.960492","10.5.109.53","10.5.109.255","NBNS","92","Name query NB MIRROROP<1d>"
"159","7.017581","Cisco_7c:7f:07","CDP/VTP/DTP/PAgP/UDLD","UDLD","112","Device ID: FOC1629Y2RL  Port ID: Gi1/0/7  "
"160","7.018939","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"161","7.090804","10.30.16.224","224.0.0.200","UDP","155","2000  >  2000 Len=109"
"162","7.200672","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"163","7.212598","134.114.109.189","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"164","7.217179","Cisco_7c:7f:07","LLDP_Multicast","LLDP","521","TTL = 120 System Name = 90-3IDF-6S-109-242.net.nau.edu System Description = Cisco IOS Software, C2960S Software (C2960S-UNIVERSALK9-M), Version 12.2(58)SE1, RELEASE SOFTWARE (fc1)\\nTechnical Support: http://www.cisco.com/techsupport\\nCopyright (c) 1986-2011 by Cisco Systems, Inc.\\nCompiled Thu 05-May-11 03:03 by prod_rel_team "
"165","7.417540","10.30.16.131","224.0.1.129","PTPv2","110","Announce Message"
"166","7.453436","fe80::5887:1aec:3724:5be0","ff02::1:2","DHCPv6","164","Solicit XID: 0xe0f825 CID: 000100011ee7cd491866da104250 "
"167","7.454651","134.114.109.93","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"168","7.464374","10.30.16.134","255.255.255.255","UDP","60","14897  >  14897 Len=6"
"169","7.499739","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.140? Tell 134.114.109.1"
"170","7.524491","10.5.109.100","10.5.109.255","BACnet-APDU","68","Unconfirmed-REQ who-Is 412002 412002 "
"171","7.526759","fe80::cd0c:89b2:bc74:8e50","ff02::1:2","DHCPv6","134","Solicit XID: 0x23b856 CID: 000100011d4c1976989096e16afd "
"172","7.555175","134.114.109.117","134.114.109.255","DB-LSP-DISC","198","Dropbox LAN sync Discovery Protocol"
"173","7.569923","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.142? Tell 134.114.109.1"
"174","7.583974","134.114.109.240","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"175","7.657596","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"176","7.657602","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"177","7.732529","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.157? Tell 134.114.109.1"
"178","7.751725","Cisco_7c:7f:07","PVST+","STP","68","RST. Root = 24576/426/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"179","7.788941","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.172? Tell 134.114.109.1"
"180","8.081188","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"181","8.086395","134.114.109.148","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"182","8.200635","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"183","8.214732","134.114.109.189","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"184","8.287944","134.114.109.97","224.0.0.251","MDNS","101","Standard query response 0x0000 A, cache flush 134.114.109.97"
"185","8.289308","fe80::216c:ca75:e5aa:b652","ff02::1:2","DHCPv6","134","Solicit XID: 0xa6b1e2 CID: 000100011bfe83f090b11c67c3b3 "
"186","8.291163","134.114.109.55","255.255.255.255","DB-LSP-DISC","221","Dropbox LAN sync Discovery Protocol"
"187","8.291283","134.114.109.55","134.114.109.255","DB-LSP-DISC","221","Dropbox LAN sync Discovery Protocol"
"188","8.345956","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"189","8.393601","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.108? Tell 134.114.109.1"
"190","8.435402","134.114.109.239","255.255.255.255","DB-LSP-DISC","236","Dropbox LAN sync Discovery Protocol"
"191","8.435403","134.114.109.239","134.114.109.255","DB-LSP-DISC","236","Dropbox LAN sync Discovery Protocol"
"192","8.463733","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"193","8.463875","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.111? Tell 134.114.109.1"
"194","8.504998","134.114.109.189","255.255.255.255","DB-LSP-DISC","310","Dropbox LAN sync Discovery Protocol"
"195","8.505224","134.114.109.189","134.114.109.255","DB-LSP-DISC","310","Dropbox LAN sync Discovery Protocol"
"196","8.532236","134.114.109.38","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"197","8.586005","134.114.109.240","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"198","8.657576","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"199","8.657716","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"200","8.753050","Cisco_7c:7f:07","PVST+","STP","64","RST. Root = 24576/109/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"201","8.768160","134.114.109.239","255.255.255.255","DB-LSP-DISC","265","Dropbox LAN sync Discovery Protocol"
"202","8.768162","134.114.109.239","134.114.109.255","DB-LSP-DISC","265","Dropbox LAN sync Discovery Protocol"
"203","8.922299","Cisco_12:f2:43","Cisco_77:e4:61","0xa0a0","60","Ethernet II"
"204","8.933238","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"205","9.048097","176.119.7.2","134.114.109.190","TCP","60","46606  >  46988 [SYN] Seq=0 Win=1024 Len=0"
"206","9.048163","134.114.109.190","176.119.7.2","TCP","54","46988  >  46606 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"207","9.090680","10.30.16.224","224.0.0.200","UDP","155","2000  >  2000 Len=109"
"208","9.152957","134.114.109.143","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"209","9.168438","134.114.109.6","224.0.0.251","MDNS","79","Standard query 0xb258 PTR _arduino._tcp.local, ""QM"" question"
"210","9.216859","134.114.109.189","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"211","9.384829","fe80::d5e8:2359:ddd1:bb36","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"212","9.417562","10.30.16.131","224.0.1.129","PTPv2","110","Announce Message"
"213","9.421215","134.114.109.176","134.114.109.255","UDP","86","57621  >  57621 Len=44"
"214","9.463053","134.114.109.117","134.114.109.255","UDP","86","57621  >  57621 Len=44"
"215","9.463296","LgElectr_ee:00:5a","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.55"
"216","9.487338","134.114.109.190","108.177.98.188","TCP","54","49964  >  5228 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"217","9.529317","108.177.98.188","134.114.109.190","TCP","66","[TCP ACKed unseen segment] 5228  >  49964 [ACK] Seq=1 Ack=2 Win=244 Len=0 TSval=220089496 TSecr=632405245"
"218","9.533299","134.114.109.38","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"219","9.533422","Dell_6a:9f:c7","Broadcast","ARP","60","Who has 134.114.109.1? Tell 134.114.109.126"
"220","9.542110","fe80::c98d:b8f6:59ee:b17a","ff02::1:3","LLMNR","87","Standard query 0x2fdb A Windows"
"221","9.542187","134.114.109.126","224.0.0.252","LLMNR","67","Standard query 0x2fdb A Windows"
"222","9.542310","fe80::c98d:b8f6:59ee:b17a","ff02::1:3","LLMNR","87","Standard query 0x6538 AAAA Windows"
"223","9.542378","134.114.109.126","224.0.0.252","LLMNR","67","Standard query 0x6538 AAAA Windows"
"224","9.549434","134.114.109.126","134.114.109.255","NBNS","92","Name query NB WINDOWS<20>"
"225","9.588224","134.114.109.240","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"226","9.657580","10.30.16.131","224.0.1.129","PTPv2","90","Sync Message"
"227","9.657740","10.30.16.131","224.0.1.129","PTPv2","90","Follow_Up Message"
"228","9.715923","134.114.109.97","224.0.0.251","MDNS","94","Standard query response 0x0000 A, cache flush 172.20.211.129"
"229","9.754532","Cisco_7c:7f:07","PVST+","STP","68","RST. Root = 24576/426/cc:98:91:a3:bf:80  Cost = 4  Port = 0x8007"
"230","9.778894","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.21? Tell 134.114.109.1"
"231","9.798571","134.114.109.114","134.114.109.255","UDP","348","55233  >  5002 Len=306"
